Site Name,Site Status,Site Address1,Site Address2,Site City,Site State,Site Zip,Site Phone,"Meal Types Served:
IDABEL HS(710),Open,901 LINCOLN RD,,IDABEL,OK,74745,580-286-8274,B L,5/15/2017,6/29/2017
Westside Park(N2),Open,901 SW VAN BUREN,,IDABEL,OK,74745,580-208-8276,L,6/1/2017,6/29/2017
Booker T Washingto(N3),Open,1000 W MAIN,,IDABEL,OK,74745,580-286-8274,L,6/1/2017,6/29/2017
HAWORTH ES(105),Open,300 NORTH MAPLE,,HAWORTH,OK,74740,(580)245-1460,B L,5/22/2017,6/29/2017
VALLIANT ES(110),Open,400 EAST MOSLEY ST,,VALLIANT,OK,74764,580-933-7140,B L,5/22/2017,6/29/2017
WRIGHT CITY ES(105),Open,8TH AND SCHOOL STREET,,WRIGHT CITY,OK,74766,580-981-7151,B L,5/15/2017,6/30/2017
BATTIEST ES(105),Open,5635  BATTIEST PICKENS RD,,BROKEN BOW,OK,74728,580-241-5499,B L,5/22/2017,6/29/2017
CHECOTAH HS(705),Open,491 PAUL CARR DRIVE,,CHECOTAH,OK,74426,918-473-8013,B L,5/16/2017,6/30/2017
CHEROKEE ES(105),Open,2400 ESTELLE,,MUSKOGEE,OK,74401,918-684-3765,L,6/5/2017,6/7/2017
GRANT-FOREMAN ES(125),Open,800 BACONE,,MUSKOGEE,OK,74403,918-684-3864,L,6/5/2017,6/28/2017
IRVING ES(140),Open,1100 NORTH J STREET,,MUSKOGEE,OK,74403,918-684-3840,B L,6/5/2017,6/28/2017
ALICE ROBERTSON JHS(505),Open,402 N S ST,,MUSKOGEE,OK,74403,918-684-3775,B L,6/5/2017,7/20/2017
MUSKOGEE HS(705),Open,3200 E SHAWNEE,,MUSKOGEE,OK,74403,918-684-3750,L,6/5/2017,7/20/2017
CAMP BENNETT(N03),Open,40TH & PARK AVENUE,,MUSKOGEE,OK,74401,(918)684-3700,L,6/5/2017,7/6/2017
SALVATION ARMY BOYS & GIRLS CLUB(N10),Open,700 INDEPENDENCE,,MUSKOGEE,OK,74403,918-682-3384,L,6/5/2017,7/20/2017
PROJECT TRANSFORMATION(N11),Open,2130 W BROADWAY,,MUSKOGEE,OK,74401,(918)687-7571,L,6/5/2017,7/20/2017
Spaulding Park(N16),Open,EAST OKMULGEE & EASTSIDE BOULEVARD,,MUSKOGEE,OK,74403,918-684-3765,L,6/5/2017,7/20/2017
Farmers Market(N17),Open,425 BOSTON,,MUSKOGEE,OK,74401,918-684-3765,L,6/7/2017,7/19/2017
Robison Park(N19),Open,GULICK & AUGUSTA STREETS,,MUSKOGEE,OK,74402,000-000-0000,L,6/5/2017,7/20/2017
GOSPEL RESCUE MISSION(N23),Open,326 S 2ND AVE,,MUSKOGEE,OK,74401,918-616-8331,L,6/5/2017,6/28/2017
HONOR HEIGHTS(N24),Open,1400 HONOR HEIGHTS DR,,MUSKOGEE,OK,74401,000-000-0000,L,6/5/2017,7/20/2017
ST. MARK BAPTIST CHURCH(N26),Open,1020 S 2ND STREET,,MUSKOGEE,OK,74401,918-348-4452,L,6/5/2017,7/20/2017
WARNER ES(105),Open,1012 NORTH 5TH,,WARNER,OK,74469,918-463-5171,B L,5/22/2017,6/16/2017
CHRIST FOR THE WORLD(N01),Open,120 N 24TH STREET,,MUSKOGEE,OK,74401,918-684-9963,L,6/5/2017,8/4/2017
MUSKOGEE TEEN CENTER(N03),Open,322 CALLAHAN ST.,,MUSKOGEE,OK,74403,918-684-6345,S,6/5/2017,8/4/2017
MUSKOGEE FIRST ASSEBMLY(N05),Open,3100 GULICK,,MUSKOGEE,OK,74403,918-682-9000,B L,6/5/2017,7/28/2017
WHISPERING PINES APTS(N22),Open,2061 CARROLL STREET,,MUSKOGEE,OK,74401,918-686-6613,B L,6/5/2017,8/4/2017
Port City Acres(N24),Open,2103 N 36TH ST,,MUSKOGEE,OK,74401,918-682-3672,B L,6/5/2017,8/4/2017
Green Country Village(N25),Open,1518 S 5TH ST,,MUSKOGEE,OK,74401,918-687-5631,B L,6/5/2017,8/4/2017
Martin Luther King Jr. Community Center(N01),Open,300 MARTIN LUTHER KING JR. STREET,,MUSKOGEE,OK,74401,918-684-6314,B L,5/30/2017,7/28/2017
St. Paul United Methodist Church(N3),Open,2130 WEST OKMULGEE,,MUSKOGEE,OK,74401,918-687-7571,B,6/5/2017,7/27/2017
Muskogee County Headstart Youth Central Campus(N4),Closed Enrolled,301 N. 6TH ST.,,MUSKOGEE-RENTING THEIR BUILDING ONLY,OK,74401,918-683-4600,L,6/1/2017,7/28/2017
BILLINGS ES(105),Open,311 N. CENTRAL,,BILLINGS,OK,74630,580-725-3271,B L,5/22/2017,8/16/2017
FRONTIER ES(105),Open,17750 VALLEY ROAD,,RED ROCK,OK,74651,580-723-4223,B L,5/22/2017,6/23/2017
Boys and Girls Club of Nowata(N01),Open,300 S. PINES ST.,,NOWATA,OK,74048,918-273-1007,L,6/5/2017,7/28/2017
Stanley Hupfeld Academy at Western Village(N01),Closed Enrolled,1508 NW 106TH ST,,OKLAHOMA CITY,OK,73114,405-751-1774,B,6/5/2017,6/16/2017
LAKE PARK ES(124),Closed Enrolled,8221 NW 30TH,,BETHANY,OK,73008,405-789-7068,B L,6/5/2017,6/29/2017
COOPER MS(520),Open,8001 RIVERBEND,,OKLAHOMA CITY,OK,73132,405-720-9887,B L,6/5/2017,6/29/2017
MAYFIELD MS(540),Open,1600 N. PURDUE,,OKLAHOMA CITY,OK,73127,405-947-8693,B L,6/5/2017,6/29/2017
PUTNAM CITY HS(705),Open,5300 NW 50TH,,WARR ACRES,OK,73122,405-789-4350,B L,6/5/2017,6/29/2017
PUTNAM CITY NORTH HS(708),Open,11800 N. ROCKWELL,,OKLAHOMA CITY,OK,73162,405-722-4220,B L,6/5/2017,6/29/2017
PUTNAM CITY WEST HS(710),Open,8500 N.W. 23RD,,OKLAHOMA CITY,OK,73127,405-787-1140,B L,6/5/2017,6/29/2017
JONES HS(705),Open,304 DR. LEE SIMMONS DR.,,JONES,OK,73049,405-399-9122,B L,6/5/2017,8/11/2017
SUNSET ES(130),Open,400 W 8TH ST,,EDMOND,OK,73003,405-340-2993,B L,6/5/2017,6/29/2017
COUNCIL GROVE ES(105),Open,7721 W MELROSE LN.,,OKLAHOMA CITY,OK,73127,405-350-3465,B L,5/31/2017,6/22/2017
JOHN GLENN ES(107),Open,6501 S LAND,,OKLAHOMA CIT,OK,73159,405-350-3480,B L,5/31/2017,6/22/2017
WINDS WEST ES(115),Open,8300 SW 37TH,,OKLAHOMA CITY,OK,73179,405-261-3475,B L,5/31/2017,6/22/2017
BRIDGESTONE ES(120),Open,1700 S COUNCIL RD,,OKLAHOMA CITY,OK,73179,405-350-3420,B L,6/5/2017,6/22/2017
COUNTRY ESTATES ES(115),Open,1609 FELIX,,MIDWEST CITY,OK,73110,405-739-1661,B L,5/30/2017,6/22/2017
DEL CITY ES(120),Open,2400 EPPERLY DR.,,DEL CITY,OK,73115,405-671-8640,B L,5/30/2017,6/22/2017
CENTRAL OAK ES(105),Open,1450 S EASTERN AVE,,OKLAHOMA CITY,OK,73129,405-672-1525,B L,5/16/2017,6/9/2017
ADAMS ES(105),Open,3416 SW 37TH STREET,,OKLAHOMA CITY,OK,73119,405-601-9365,B L,6/5/2017,6/22/2017
BRITTON ES(125),Open,1215 NW 95,,OKLAHOMA CITY,OK,73114,405-607-3930,B L,6/5/2017,6/22/2017
CESAR CHAVEZ ES(150),Open,600 SE GRAND BLVD,,OKLAHOMA CITY,OK,73129,405-606-6056,B L,6/5/2017,6/22/2017
F.D. MOON ES(170),Open,1901 NE 13,,OKLAHOMA CITY,OK,73117,405-601-6852,B L,6/5/2017,6/29/2017
EUGENE FIELD ES(215),Open,1515 N. KLEIN,,OKLAHOMA CITY,OK,73106,405-606-2057,B L,6/5/2017,6/22/2017
HAYES ES(260),Open,6900 S BYERS,,OKLAHOMA CITY,OK,73149,405-606-4138,B L,6/5/2017,6/22/2017
HERONVILLE ES(265),Open,1240 SW 29,,OKLAHOMA CITY,OK,73109,405-636-2704,B L,6/5/2017,6/22/2017
HORACE MANN ES(270),Open,1105 NW 45TH STREET,,OKLAHOMA CITY,OK,73106,405-602-6302,B L,6/5/2017,6/22/2017
JOHNSON ES(275),Open,1810 SHEFFIELD ROAD,,OKLAHOMA CITY,OK,73120,405-607-3697,B L,6/5/2017,6/29/2017
KAISER ES(280),Closed Enrolled,3101 N. LYON BLVD,,OKLAHOMA CITY,OK,73112,405-605-3570,B L,6/12/2017,6/29/2017
LINWOOD ES(305),Open,3416 NW 17,,OKLAHOMA CITY,OK,73107,405-605-4381,B L,6/5/2017,6/29/2017
PARMELEE ES(352),Open,6700 S. HUDSON,,OKLAHOMA CITY,OK,73139,405-601-0418,B L,6/5/2017,6/29/2017
PRAIRIE QUEEN ES(360),Open,1325 SW 66TH STREET,,OKLAHOMA CITY,OK,73159,405-609-8993,B L,6/5/2017,6/29/2017
ROCKWOOD ES(385),Open,3101 SW 24,,OKLAHOMA CITY,OK,73108,405-702-0569,B L,6/5/2017,6/29/2017
TELSTAR ES(417),Open,9521 NE 16TH STREET,,OKLAHOMA CITY,OK,73130,405-455-7320,B L,6/5/2017,6/29/2017
DOUGLASS MS(512),Open,900 N. MARTIN LUTHER KING AVENUE,,OKLAHOMA CITY,OK,73117,405-602-2786,B L,6/5/2017,6/29/2017
DOUGLASS HS(707),Open,900 N. MARTIN LUTHER KING AVENUE,,OKLAHOMA CITY,OK,73117,405-602-2786,B L,6/5/2017,6/29/2017
U. S. GRANT HS(712),Open,5016 S. PENNSYLVANIA,,OKLAHOMA CITY,OK,73119,405-602-3273,B L,6/5/2017,6/22/2017
JOHN MARSHALL HS(726),Open,12201 N. PORTLAND,,OKLAHOMA CITY,OK,73120,405-607-3769,B L,6/5/2017,6/29/2017
Shiloh Baptist Church(N03),Open,1108 NE 50TH ST,,OKLAHOMA CITY,OK,73111,405-424-3141,L,6/26/2017,7/15/2017
Victory Temple COGIC(N04),Open,630 N BATH,,OKLAHOMA CITY,OK,73117,405-973-6965,L,6/5/2017,7/12/2017
Sunny Kids at Coffee Creek(N08),Open,501 SW 15TH,,EDMOND,OK,73013,405-696-1213,L,5/31/2017,6/20/2017
Maramec United Methodist Church(N15),Open,501 2ND STREET,,MARAMEC,OK,74045,405-742-2835,L,6/5/2017,7/28/2017
Faith Holiness Church(N16),Open,212 N. POLARIS,,EAKLY,OK,73048,405-929-0393,L,7/24/2017,7/28/2017
Kingfisher Church of Christ(N19),Open,913 WEST WILL ROGERS,,KINGFISHER,OK,73750,405-375-3919,L,6/5/2017,6/30/2017
Del City church of Christ(N3),Open,1901 VICKIE DRIVE,,DEL CITY,OK,73115,405-672-1311,L,7/17/2017,7/27/2017
God's Gym(N34),Open,309 E. PETERSON ST.,,OILTON,OK,74052,918-277-9205,L,6/5/2017,7/28/2017
North Village-Mission OKC(N39),Open,10735 N. WESTERN,,OKLAHOMA CITY,OK,73114,405-755-0300,L,6/12/2017,7/27/2017
Riverchase-Mission OKC(N40),Open,11239 N. PENN,,OKLAHOMA CITY,OK,73120,405-694-8381,L,6/12/2017,7/27/2017
The Meridian-Mission OKC(N43),Open,4220 NW 10TH ST.,,OKLAHOMA CITY,OK,73107,405-694-8381,L,6/12/2017,7/27/2017
Wentwood at Macar-Mission OKC(N44),Open,5001 NW 10TH ST.,,OKLAHOMA CITY,OK,73127,405-694-8381,L,6/12/2017,7/27/2017
The Terrace Apts-Mission OKC(N45),Open,6640 NW 10TH ST.,,OKLAHOMA CITY,OK,73127,405-694-8381,L,6/12/2017,7/27/2017
London Square-Mission OKC(N47),Open,7553 NW 6TH ST.,,OKLAHOMA CITY,55,73127,405-694-8381,L,6/12/2017,7/27/2017
New Lake Village Apts. (Henryetta)(N5),Open,1212 NEW LAKE ROAD.,,HENYRETTA,OK,74437,918-652-4452,L,6/5/2017,7/28/2017
Will Rogers UMC(N54),Open,1138 S. YALE AVE.,,TULSA,OK,74112,918-834-0891,L,6/8/2017,7/27/2017
C&A Tribe-Canton(N58),Open,205/207 N. JEFFERSON STREET,,CANTON,OK,73724,405-623-3223,L,6/5/2017,7/28/2017
C&A Tribe-Hammon(N59),Open,801 DUNN ST.,,HAMMON,OK,73650,580-623-0103,L,6/5/2017,7/28/2017
C&A Tribe-Watonga(N60),Open,100 N. HARMON,,WATONGA,OK,73772,580-623-3223,L,6/5/2017,7/28/2017
Maud Public Schools(N76),Open,306 WEST MAIN ST.,,MAUD,OK,74854,405-374-2416,L,6/5/2017,7/28/2017
Heritage Ridge(N83),Open,7550 NW 10TH.,,OKLAHOMA CITY,OK,73127,405-694-8381,L,6/12/2017,7/27/2017
Lakeview Condos(N84),Open,8400 NW 10TH ST.,,OKLAHOMA CITY,OK,73127,405-694-8381,L,6/12/2017,7/27/2017
The Highlands(N87),Open,11239 N. PENN,,OKLAHOMA CITY,OK,73120,405-694-8381,L,6/12/2017,7/27/2017
Brdigeport Apts(N88),Open,10735 N. WESTERN,,OKLAHOMA CITY,OK,73114,405-694-8381,L,6/12/2017,7/27/2017
Village at Sratford(N90),Open,12831 N. STRATFORD,,OKLAHOMA CITY,OK,73120,405-694-8381,L,6/12/2017,7/21/2017
C&A Tribe-Seiling Head Start(N94),Open,411 N. MAIN STREET,,SEILING,OK,73663,405-422-7873,L,6/5/2017,7/28/2017
C&A Tribe-Geary Community Hall(N95),Open,124 E. MAIN STREET,,GEARY,OK,73040,405-422-7873,L,6/5/2017,7/28/2017
New Bethel Baptist Church(N2),Open,1844 EAST MADISON STREET,,OKLAHOMA CITY,OK,73111,405-286-3099,B L,6/5/2017,7/28/2017
Douglass East Park(N3),Open,801 NORTH BRYANT AVE,,OKLAHOMA CITY,OK,73117,405-286-3099,S,6/10/2017,7/28/2017
Millwood Track Field(N5),Open,6718 NORTH MARTIN LUTHER KING,,OKLAHOMA CITY,OK,73111,405-286-3099,S,6/10/2017,7/28/2017
Kancacha Kidz(N7),Open,1824 EAST MADISON STREET,,OKLAHOMA CITY,OK,73111,405-286-3099,S,7/3/2017,7/28/2017
Tinker Youth Center(N01),Closed Enrolled,4460 MCNARNEY AVE,,TINKER AFB,OK,73145,405-734-7866,B L,5/25/2017,8/17/2017
Enrichment Cafe(N01),Open,1911 SOUTH SUNNYLANE RD SUITE A,,DEL CITY,OK,73135,405-601-4291,B L,6/5/2017,8/19/2017
Ada Boys and Girls Club(N4),Open,915 S HICKORY,,ADA,OK,74820,580-332-3717,S,5/30/2017,8/4/2017
Young Achievers (N6),Open,1025 NE 15TH ST,,"OKC, OK",OK,73117,405-424-1701,L,6/19/2017,7/28/2017
St James Church Of God In Christ(N7),Open,3015 N TOWNSEND,,ADA,OK,74820,580-332-3717,S,6/19/2017,6/23/2017
First Baptist Church(N01),Open,1201 N ROBINSON,,OKLAHOMA CITY,OK,73103,405-492-3961,B L,6/1/2017,8/5/2017
Chaparral Townhouses(N2),Open,1301 N STILES,,OKLAHOMA CITY,OK,73104,903-240-5501,B L,6/1/2017,8/4/2017
Silverwood Apartments(N3),Open,403 W SILVERWOOD DRIVE,,MIDWEST CITY,OK,73110,405-881-2916,B L,6/1/2017,8/4/2017
Mckinley Park Community Center(N4),Open,1300 N MCKINLEY AVE,,OKLAHOMA CITY,OK,73106,405-525-0288,B L,6/14/2017,8/5/2017
Greater New Bethlehem Temple(N01),Open,2209 N EVEREST AVENUE,,OKLAHOMA CITY,OK,73111,405-673-4628,B L,8/1/2017,8/12/2017
Cathedral of Praise(N4),Open,4400 VFW DRIVE,,DEL CITY,OK,73115,405-604-0909,L,6/12/2017,8/17/2017
Oakridge Village(N5),Open,3340 S. BRYANT AVENUE,,DEL CITY,OK,73115,405-673-4628,L,6/12/2017,8/18/2017
Simms Boxing Academy(N6),Open,4420 SE 44TH STREET,,OKLAHOMA CITY,OK,73135,405-673-4628,S,6/12/2017,8/18/2017
YMCA Camp Takatoka(N01),Residential Camp,32701 E 660 ROAD,,CHOTEAU,OK,74337,918-728-3922,B L S,6/12/2017,6/17/2017
Wildwood Christian Church(N01),Open,6900 N. KELLEY AVE,,OKLAHOMA CITY,OK,73111,405-830-0163,B L,6/5/2017,8/25/2017
North Highland Park(N2),Open,301 NW 81ST ST/9316 N FRANCIS AVE,,OKLAHOMA CITY,OK,73114,405-510-6530,L,6/5/2017,8/25/2017
Northeast Pool(N3),Open,1226 NE 33RD ST,,OKLAHOMA CITY,OK,73111,405-659-2283,L,6/19/2017,7/21/2017
OKC Dream Center(N01),Open,2212 SW 55TH ST,,OKLAHOMA CITY,OK,73119,405-634-2615,B L,6/5/2017,7/27/2017
Avery Chapel(N01),Open,1425 N. KELHAM AVE,,OKLA CITY,OK,73117,405-424-3331,B L,6/5/2017,7/28/2017
Salvation Army Heart O' Hills(N01),Residential Camp,23125 SALVATION ROAD,,WELLING,OK,74471,918-456-9882,B L S,6/7/2017,7/16/2017
Boys and Girls Club - Memorial Park(N02),Open,3535 NORTH WESTERN,,OKLAHOMA CITY,OK,73118,405-521-9292,L,6/5/2017,7/28/2017
Boys and Girls Club - Salvation Army(N03),Open,2808 SE 44TH ST,,OKLAHOMA CITY,OK,73109,405-677-4781,B,6/5/2017,7/28/2017
Capitol Hill Church of Christ(N05),Open,2801 S. ROBINSON AVE.,,OKLAHOMA CITY,OK,73109,918-693-3568,L,6/5/2017,7/25/2017
Chickasha YMCA(N100),Open,725 W CHICKASHA AVE.,,CHICKASHA,OK,73018,405-224-2281,L,5/30/2017,8/16/2017
St. Jude Missionary Baptist Church(N109),Open,1001 NW 92ND ST,,OKLAHOMA CITY,OK,73114,405-286-6917,L,6/5/2017,7/28/2017
Camp SOAR(N118),Open,7900 DEVORE DRIVE,,OKLAHOMA CITY,OK,73162,405-621-5858,L,6/5/2017,7/27/2017
Rankin YMCA(N123),Open,1220 S RANKIN,,EDMOND,OK,73034,405-348-9622,L,6/5/2017,7/28/2017
OCCC Family & Community Center(N125),Open,6500 S. LAND AVE,,OKLAHOMA CITY,OK,73159,405-682-1611,L,6/9/2017,7/28/2017
Zoe Kids Cafe of Enid(N126),Open,729 E MAINE AVE,,ENID,OK,73701,580-237-7703,L,6/5/2017,7/28/2017
Boys and Girls Club- Santa Fe South(N127),Open,5325 S. PENNSYLVANIA AVE,,OKLAHOMA CITY,OK,73119,405-681-7480,L,6/5/2017,7/14/2017
Ambassador Courts Housing(N13),Open,800 SE 15TH ST.,,OKLAHOMA CITY,OK,73129,405-631-3769,L,6/5/2017,7/28/2017
Shartel Church of God(N130),Open,11600 S WESTERN AVE,,OKLAHOMA CITY,OK,73170,405-290-5027,L,6/5/2017,7/28/2017
Greater Cleaves Memorial CME(N132),Open,1609 NE 48TH STREET,,OKLAHOMA CITY,OK,73111,405-427-6905,B L,6/5/2017,6/16/2017
OCCC Capitol Hill Center(N133),Open,"123 SW 25TH ST, STE 100",,OKLAHOMA CITY,OK,73109,405-272-5140,L,6/5/2017,7/14/2017
Will Rogers Garden Expo(N138),Open,3400 NW 36TH STREET,,OKLAHOMA CITY,OK,73012,405-943-0827,L,6/12/2017,7/26/2017
One True Light- Fuqua Park West(N143),Open,US-81 & BEECH,,DUNCAN,OK,73534,580-467-8133,L,6/5/2017,7/27/2017
Oak Grove Housing(N15),Open,3301 SW 17TH ST,,OKLAHOMA CITY,OK,73108,405-681-2381,L,6/5/2017,7/28/2017
One True Light- True Gospel Tabernacle(N150),Open,301 S 1ST STREET,,DUNCAN,OK,73533,580-467-8133,L,6/5/2017,7/27/2017
Boys & Girls Club - Salvation Army Shawnee(N151),Open,200 E 9TH ST,,SHAWNEE,OK,74801,405-273-1470,S,5/30/2017,7/28/2017
Reaching Our City(N152),Open,7710 NW 10TH STREET,,OKLAHOMA CITY,OK,73127,405-440-9994,L,6/5/2017,6/29/2017
Guthrie YMCA(N155),Open,2001 W NOBLE,,GUTHRIE,OK,73044,405-282-8206,L,5/30/2017,8/11/2017
Elk City(N156),Open,1501 W 7TH,,ELK CITY,OK,73644,580-243-0770,L,7/5/2017,7/27/2017
"Southwestern Youth Services, Inc.(N159)",Open,1221 N HOWSE,,ALTUS,OK,73521,508-482-2809,L,5/24/2017,6/22/2017
Sooner Haven Housing(N16),Open,1444 NE 36TH,,OKLAHOMA CITY,OK,73111,405-424-4651,L,6/5/2017,7/28/2017
HFV Wilson Community Center(N161),Open,625 E. MAIN,,ARDMORE,OK,73401,580-223-0136,B L,5/22/2017,8/11/2017
Okeene Elementary (N162),Open,306 N. 6TH ST.,,OKEENE,OK,73763,580-822-5624,L,5/30/2017,6/30/2017
Donald W. Reynolds Rec Center(N163),Open,1005 N. WILLOW ST,,PAULS VALLEY,OK,73075,405-238-1307,L,6/5/2017,7/28/2017
Well Springs Community Service(N164),Open,120 S. PECAN,,BOLEY,OK,74829,918-667-3612,L,6/12/2017,8/4/2017
Langston BSU(N168),Open,3016 W SAMMY DAVIS JR. DR,,LANGSTON,OK,73050,405-248-3276,B L,6/1/2017,7/31/2017
Will Rogers Courts Housing(N17),Open,1637 SW 15TH ST,,OKLAHOMA CITY,OK,73108,405-632-6060,L,6/5/2017,7/27/2017
Foster Center(N170),Open,614 NE 4TH ST,,OKLAHOMA CITY,OK,73104,405-297-1423,L,6/5/2017,7/28/2017
Freedom School OKC(N171),Open,1901 SPRINGLAKE DR,,OKLAHOMA CITY,OK,73111,405-924-3143,B L,6/12/2017,7/19/2017
Guthrie Upper Elem. 1(N176),Open,702 N. CROOKS,,GUTHRIE,OK,73044,405-282-8206,L,5/30/2017,8/11/2017
Moore FRC(N178),Open,2635 N SHIELDS BLVD,,MOORE,OK,73160,405-600-3187,L,6/5/2017,7/28/2017
CCIO(N180),Open,4400 NW EXPRESSWAY,,OKLAHOMA CITY,OK,73116,405-585-6520,L,6/5/2017,7/27/2017
Jubilee Partners(N181),Open,1121 N. PENN AVE,,OKLAHOMA CITY,OK,73107,405-888-1271,L,6/19/2017,7/21/2017
Oklahoma Care Club(N185),Open,3556 N. SPENCER AVE.,,SPENCER,OK,73084,405-708-2106,,6/12/2017,7/28/2017
Laverne Delphian Library(N186),Open,122 W JANE JAYROE,,LAVERNE,OK,73848,580-921-7323,,6/12/2017,7/11/2017
1st United Methodist Church(N187),Open,701 S OLIVE ST,,SHATTUCK,OK,73858,405-802-7500,L,7/10/2017,8/11/2017
Little Axe Community Center(N19),Open,1000 168TH AVE NE,,NORMAN,OK,73026,405-292-9770,L,6/5/2017,7/27/2017
Lunch at the Park(N190),Open,110 S 17TH ST,,FREDERICK,OK,73542,580-305-7313,L,5/30/2017,7/28/2017
Laverne City Park(N193),Open,605 W JANE JAYROE BLVD,,LAVERNE,OK,73848,580-334-1223,L,6/6/2017,6/28/2017
Stillwater Salvation Army(N194),Open,1101 S LOWRY,,STILLWATER,OK,74074,405-372-1554,L,5/30/2017,7/27/2017
Boys & Girls Club of Norman @CCFI(N195),Open,210 S.COCKREL AVE,,NORMAN,OK,73071,405-364-1420,L,6/5/2017,6/30/2017
First Baptist Church Blair(N199),Open,420 HUGHES DR,,BLAIR,OK,73526,580-563-2432,L,6/5/2017,6/30/2017
Youth and Family Services of North Central Oklahoma(N201),Homeless Children,605 W OXFORD AVE,,ENID,OK,73701,580-233-7220,S,5/25/2017,8/15/2017
Boys & Girls Clubs of Carter County-Teen Town(N203),Open,532 BIRCH,,WILSON,OK,73463,580-336-3115,L,6/5/2017,7/31/2017
